"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
56.5,65.25,-0.0017663639091824,-0.0138342330945617,-0.00841696885317969,0.00488424103481488,0
56.75,65.25,-0.00029164900455462,-0.0101956048809981,-0.0047642571831465,0.00418095917403726,0
57,65.25,0.00120182576641713,-0.00650817878900085,-0.0023753920549652,0.00477904358779946,0
57.25,65.25,0.00268816894822298,-0.00283665428765323,-0.00214634380557176,0.00752268170201771,0
57.5,65.25,0.00414190184178593,0.000755305941837818,-0.00301772309317566,0.0113015267767475,0
57.75,65.25,0.00553917135018799,0.0042081147768273,-0.00419726591751737,0.0152756086178934,0
58,65.25,0.00685729997024347,0.00746522515761771,-0.00544083181076009,0.019155431751247,0
58.25,65.25,0.00807414094993178,0.010471543775094,-0.00665428370639549,0.022802565606259,0
58.5,65.25,0.00916885740531537,0.0131752221926163,-0.007786385700859,0.0261241005114897,0
58.75,65.25,0.0101275448765679,0.0155420040222804,-0.00880925542658211,0.0290643451797179,0
59,65.25,0.0109458279863531,0.0175614711299467,-0.00971166929566266,0.0316033252683688,0
59.25,65.25,0.0116261330830021,0.0192399717990514,-0.0104914908620114,0.0337437570280155,0
59.5,65.25,0.0121776110418368,0.0206004390255048,-0.0111560860498558,0.0355113081335293,0
59.75,65.25,0.0126114620862851,0.0216707206689127,-0.011715631984818,0.0369385561573881,0
60,65.25,0.0129409646739819,0.0224836960247517,-0.0121830338778755,0.0380649632258394,0
60.25,65.25,0.0130823148563669,0.0228372607027136,-0.0124723302017633,0.0386369599144972,0
60.5,65.25,0.0131446854236165,0.0229962180938501,-0.0126945537440554,0.0389839245912883,0
60.75,65.25,0.0131422526413738,0.0229955803974514,-0.0128643490895749,0.0391488543723226,0
61,65.25,0.013089266280986,0.0228705406282028,-0.0129962034685085,0.0391747360304804,0
61.25,65.25,0.0128516305359404,0.0222863463873285,-0.0129151866218588,0.0386184476937396,0
61.5,65.25,0.012586871812401,0.0216353643220713,-0.0128116091840826,0.0379853528088845,0
61.75,65.25,0.0123037140622575,0.0209390864377866,-0.0126933691647299,0.0373007972892449,0
62,65.25,0.0120108812373999,0.0202190047398299,-0.0125683070664702,0.03659006954127,0
52,65.5,-0.0134050234453226,-0.0397445350653335,-0.038520946249666,0.0117108993590209,0
52.25,65.5,-0.0135577451120454,-0.0401345880663838,-0.03884427748171,0.0117287872576192,0
52.5,65.5,-0.0137015322484321,-0.040503759457465,-0.0391479398361353,0.0117448753392711,0
52.75,65.5,-0.0138295195987984,-0.0408358706691834,-0.0394148607910726,0.0117558215934757,0
53,65.5,-0.0139348419074601,-0.0411147431321443,-0.0396278823045552,0.011758198489635,0
53.25,65.5,-0.0138752224851502,-0.0410371041336011,-0.0393910725325442,0.0116406275622439,0
53.5,65.5,-0.0137727950793468,-0.0408585490091722,-0.0390528298162141,0.0115072396575205,0
53.75,65.5,-0.0136145995378936,-0.0405485579429283,-0.0385781483113255,0.0113489492355384,0
54,65.5,-0.0133878299614028,-0.0400769659960298,-0.0379322685744919,0.0111566086516864,0
54.25,65.5,-0.0127468448536975,-0.0386462626134994,-0.0362358937192641,0.0107422040118691,0
54.5,65.5,-0.0120140821680628,-0.0369992063590345,-0.0343080940035051,0.0102799296673795,0
54.75,65.5,-0.0111777187366471,-0.0351080253961919,-0.0321161155252067,0.00976067805191244,0
55,65.5,-0.0102280700109217,-0.0329499688063927,-0.0296322762414443,0.00917613621960086,0
55.25,65.5,-0.00915259410901534,-0.0304967397083358,-0.0268233297270823,0.00851814150905162,0
55.5,65.5,-0.0079516606498926,-0.0277479846721842,-0.0236860630918233,0.00778274179203812,0
55.75,65.5,-0.00662810394209845,-0.0247100808161796,-0.0202290064877135,0.00697279860351665,0
56,65.5,-0.00519439149402176,-0.021411991839369,-0.0164942236539625,0.00610544066591897,0
56.25,65.5,-0.00367016956574124,-0.0178997483946026,-0.0125626845138364,0.0052223453823539,0
56.5,65.5,-0.00207687338599385,-0.0142236597387739,-0.00857401130752122,0.00442026453553353,0
56.75,65.5,-0.000437186502483921,-0.010437029038043,-0.00486570579567969,0.00399133279071185,0
57,65.5,0.00122338877595993,-0.00659966150321089,-0.00239091081859699,0.00483768837051684,0
57.25,65.5,0.00287605486625742,-0.0027788733486014,-0.00195617060224624,0.00770828033476108,0
57.5,65.5,0.00449247333455753,0.000959097835013526,-0.00258383243019121,0.0115687790993063,0
57.75,65.5,0.00604611397067188,0.00455225460815571,-0.003529512837995,0.0156217407793387,0
58,65.5,0.00751175533017679,0.00794176069948134,-0.00455562344019825,0.0195791341005518,0
58.25,65.5,0.00886476781165112,0.011070290082999,-0.00557054238392189,0.0233000780072241,0
58.5,65.5,0.0100819783674506,0.0138838933542003,-0.00652541909298069,0.026689375827882,0
58.75,65.5,0.0111479276911054,0.0163469198075434,-0.00739400219072497,0.0296898575729358,0
